model,smiles,tSNE-1,tSNE-2
Initial molecules,CN1N=C(N)c2cn(C3OC(CO)C(O)C3O)c3ncnc1c23,-22.71591,5.04689
Initial molecules,CN(c1ncccc1CNc1nc(Nc2ccc3[nH]c(O)cc3c2)ncc1C(F)(F)F)S(C)(=O)=O,-7.025369,-22.816668
Initial molecules,CN(C)c1ccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)cc1NC(=O)c1ccccc1,-0.45372465,-17.64249
Initial molecules,CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3ncc(C#N)[nH]3)c(C3=CCCCC3)c2)CC1,-31.537176,11.824752
Initial molecules,CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CC1,-31.536514,11.809903
Initial molecules,CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1,-21.779495,-18.66196
Initial molecules,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,-8.403499,-18.172646
Initial molecules,CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)nc2[nH]ccc12,-18.869627,-27.045702
Initial molecules,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,-18.166006,-15.913878
Initial molecules,COc1cc2nccc(Oc3ccc(NC(=S)NC(=O)c4ccccc4C)cc3)c2cc1OC,-17.16462,-17.603676
Initial molecules,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC,-17.724804,-15.811524
Initial molecules,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,-14.028138,-17.817913
Initial molecules,COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC,-15.759382,-13.402824
Initial molecules,COc1cc(C=C2C(=O)NN(c3ccc(Cl)c(Cl)c3)C2=O)ccc1O,-33.17757,-15.7256775
Initial molecules,COc1cc(C)c(N2CCN(C(C)C)CC2)cc1Nc1nc(Nc2cccc(F)c2C(N)=O)c2cc[nH]c2n1,-17.999235,-27.260828
Initial molecules,COc1ccc(Nc2ncc3nc(Nc4ccccc4F)n(C4CCCC4)c3n2)cc1,-15.601147,-33.487682
Initial molecules,COc1ccc(Nc2ncc3nc(Nc4ccccc4F)n(C(C)C)c3n2)cc1,-13.768016,-33.750237
Initial molecules,COc1ccc(Nc2ncc3nc(Nc4ccc(F)cc4F)n(C4CCCC4)c3n2)cc1,-16.486893,-33.515026
Initial molecules,COc1ccc(Nc2ncc3nc(Nc4c(F)cccc4F)n(C4CCCC4)c3n2)cc1,-15.895338,-34.239662
Initial molecules,COc1ccc(N=Nc2c(O)n[nH]c2-c2cnccc2OC)cc1,-34.539192,-21.460335
Initial molecules,COc1ccc(OC)c2c(S)c3ccccc3nc12,-20.436497,-10.48343
Initial molecules,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,-14.03534,-25.388857
Initial molecules,COc1cc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)ccc1N1CCOCC1,-11.682434,-25.728104
Initial molecules,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,-13.656429,-28.003244
Initial molecules,COc1ccncc1-c1[nH]nc(O)c1N=Nc1ccccc1,-35.536053,-21.334808
Initial molecules,COc1ccncc1-c1[nH]nc(O)c1N=Nc1ccc(Cl)cc1,-34.781387,-20.897932
Initial molecules,COc1ccncc1-c1[nH]nc(O)c1N=Nc1ccc(C#N)cc1,-34.861855,-22.135464
Initial molecules,COc1ccncc1-c1[nH]nc(O)c1N=Nc1ccncc1,-35.20532,-21.422787
Initial molecules,COC(=O)c1ccc2c(c1)NC(=O)C2C(=Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,-15.475296,20.548094
Initial molecules,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)CCCC(C)C)c2)[nH]1,-5.882821,7.1455326
Initial molecules,CS(=O)c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,-11.955384,5.536845
Initial molecules,CS(=O)(=O)Nc1ccc(-c2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)cc1,22.02064,-10.244099
Initial molecules,CS(=O)(=O)Nc1ccc(-c2cnc3cccc(-c4ccncc4)c3c2)cc1,3.601816,7.678384
Initial molecules,Fc1cc(-c2ccnc(Nc3ccc(-n4cnc(N5CCOCC5)n4)cc3)n2)cc(N2CCOCC2)c1,1.3979614,-13.479509
Initial molecules,Fc1ccc(Nc2nccc(-c3c(-c4ccccc4)nn4ncccc34)n2)cc1F,6.437035,-36.10529
Initial molecules,FC(F)(F)c1cc(Nc2nccc(-c3c(-c4ccccc4)nn4ncccc34)n2)ccc1Cl,6.6403413,-38.448822
Initial molecules,N#Cc1ccc2c(-c3ccnc(NC4CC4)n3)c(-c3ccc(F)cc3)nn2c1,-1.7800462,22.979418
Initial molecules,N#CC(c1ccnc(NCCc2cccnc2)n1)c1nc2ccccc2s1,22.288378,6.2610826
Initial molecules,NC(=O)c1ccc(-c2nc(-c3ccc4c(c3)OCO4)c(-c3ccccn3)[nH]2)cc1,-25.214577,-14.291956
Initial molecules,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCCO4)[nH]2)cc1,-25.410162,-14.463882
Initial molecules,NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCCC3=O)cc2)ncc1Cl,-9.631338,-26.01643
Initial molecules,NC(=O)c1ccc(NC2CCCCC2N)nc1Nc1cccc(Cl)c1,-17.410835,-22.366821
Initial molecules,NC(=O)c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,13.653574,2.0007029
Initial molecules,O=c1c2ccccc2[nH]c(=S)n1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,-35.800167,-3.6629984
Initial molecules,O=c1c(-c2ccc(F)cc2)c(-c2ccnc(NC3CCCCC3)c2)oc2ccccc12,0.6242014,24.281517
Initial molecules,Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,-11.287001,6.362388
Initial molecules,O=C1C=CC(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)=CC1,-13.852009,8.415515
Initial molecules,OC1CCC(c2[nH]ncc2-c2ccnc(NC3CCCC3)n2)CC1,-2.315996,45.35999
Initial molecules,OC1CCC(Nc2ncc3nc(Nc4ccccc4F)n(C4CCCC4)c3n2)CC1,-22.928284,19.844969
Initial molecules,OC1CCC(Nc2nccc(-c3cn[nH]c3C3CCCOC3)n2)CC1,-2.30504,45.371696
Initial molecules,Oc1nc2ncc(-c3ccc(-c4ncn[nH]4)cc3)nc2n1CCC1CCOCC1,-0.22880733,41.60259
Initial molecules,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3cc(Br)ccc3c21,-35.21404,-4.3722353
Initial molecules,O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCc1ccc(c(N3CCCC3)n1)CCCn1cc2c2ccccc21,-30.868807,3.153471
Initial molecules,O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCc1cc(nc(N3CCCC3)c1)CCCn1cc2c2ccccc21,-30.593206,1.8075743
Initial molecules,O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCCc1ccc(c(N3CCCC3)n1)CCCCn1cc2c2ccccc21,-30.827787,3.2178516
Initial molecules,O=C1NC(=O)C(=Cc2ccc(-c3ccc(F)cc3O)o2)S1,-40.557285,-3.308128
Initial molecules,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,-0.44080234,-17.639753
Initial molecules,Sc1nnc(-c2ccncc2)n1-c1ccc2ccccc2c1,-15.285086,2.1650016
Initial molecules,c1ccc2c(-c3ccncc3)c[nH]c2c1,-17.496202,2.7041852
Initial molecules,c1cc(-c2nccs2)c2nc(Nc3ccc(-n4cnc(N5CCOCC5)n4)cc3)ncc2c1,35.237713,-30.581404
Initial molecules,c1ccc(-c2ccc3c(-c4ccnc(Nc5ccc6c(c5)OCCO6)n4)cnn3n2)cc1,11.556318,-34.240776
Initial molecules,c1ccc(-c2ccnc(Nc3ccc(-n4cncn4)cc3)n2)cc1,33.448273,-15.649863
Initial molecules,c1ccc(-c2nn3ncccc3c2-c2ccnc(Nc3ccc4c(c3)OCCO4)n2)cc1,10.279318,-34.75324
Initial molecules,c1ccc(Nc2nccc(-c3c(-c4ccccc4)nn4ncccc34)n2)cc1,6.8329415,-34.390507
Initial molecules,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,-14.401261,52.01476
Initial molecules,Cc1cc2ncc(-c3ccccc3)nc2cc1C,20.925854,14.093338
Initial molecules,Cc1ccc2c(-c3ccnc(Nc4ccc5c(c4)OCCO5)n3)c(-c3ccccc3)nn2n1,11.221464,-36.821636
Initial molecules,Cc1ccc2c(-c3ccnc(Nc4ccc5c(c4)OCCO5)n3)c(-c3cccc(C(F)(F)F)c3)nn2n1,10.224048,-37.4013
Initial molecules,Cc1ccc2c(-c3ccnc(Nc4ccccc4)n3)c(-c3ccccc3)nn2n1,10.804304,-38.928104
Initial molecules,Cc1ccc2c(-c3ccnc(Nc4ccccc4)n3)c(-c3cccc(C(F)(F)F)c3)nn2n1,10.043873,-38.891262
Initial molecules,Cc1ccc2c(-c3ccnc(Nc4ccc(Cl)c(C(F)(F)F)c4)n3)c(-c3cccc(C(F)(F)F)c3)nn2n1,9.062846,-39.717937
Initial molecules,Cc1ccc2c(-c3ccnc(Nc4ccc(Cl)c(C(F)(F)F)c4)n3)c(-c3ccc(F)cc3)nn2n1,7.8967004,-39.61377
Initial molecules,Cc1ccc2c(-c3ccnc(Nc4ccc(F)c(F)c4)n3)c(-c3ccc(F)cc3)nn2n1,8.593299,-38.138233
Initial molecules,Cc1ccc2nccc(NC(=O)Nc3cccc(C(F)(F)F)n3)c2c1,-7.458942,-14.534214
Initial molecules,Cc1ccc(-c2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)s1,33.43423,-0.1520822
Initial molecules,Cc1ccc(-c2ncn(-c3ccc(Nc4ncc5ccc(-c6cn[nH]c6)cc5n4)cc3)n2)cn1,39.081635,-32.495796
Initial molecules,Cc1cccc(-c2[nH]c(C(C)(C)C)nc2-c2ccc3c(c2)OCO3)n1,-24.632149,-13.494814
Initial molecules,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1,-36.45038,-6.9433846
Initial molecules,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,2.1129916,1.7305624
Initial molecules,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,-13.459917,-20.293009
Initial molecules,Cc1ccc(N=C2CC(=O)c3sc(C)nc3C2=O)cc1,-21.321785,9.347119
Initial molecules,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,16.394224,8.522372
Initial molecules,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,-5.7833614,17.706768
Initial molecules,Cc1cc(NC(=O)c2cccc(NC(=O)C=CCN(C)C)c2)ccc1Nc1nccc(-c2cccnc2)n1,16.988125,8.249593
Initial molecules,CC1CCN(C(=O)CC#N)CC1N(C)c1ncnc2[nH]ccc12,-31.668316,13.125466
Initial molecules,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,16.067638,8.68726
Initial molecules,Cc1nc2cc3nc(-c4cccs4)cnc3cc2n1C,21.143719,15.0633545
Initial molecules,Cc1ncn(-c2ccc(Nc3ncc4cccc(-c5nccs5)c4n3)cc2)n1,35.07503,-30.149752
Initial molecules,Cc1ncn(-c2ccc(Nc3nccc(-c4cc(C#N)cc(N5CCOCC5)c4)n3)cc2)n1,3.5676687,-16.177835
Initial molecules,Cc1ncn(-c2ccc(Nc3ncc(Cl)c(-c4ccn(C)n4)n3)cc2)n1,36.93247,-23.501247
Initial molecules,Cc1[nH]c(C=C2C(=O)Nc3ccccc32)c(C)c1CCC(=O)O,-35.972,-8.342735
Initial molecules,Cc1[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC(O)CN1CCOCC1,-40.8216,-6.874094
Initial molecules,CCc1ccc2nccc(NC(=O)Nc3cccc(C(F)(F)F)n3)c2c1,-7.6394053,-14.82416
Initial molecules,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,-14.202294,-14.430429
Initial molecules,CCc1nc(-c2ccc(OC)cc2)[nH]c1-c1ccncc1,-11.052284,4.1177135
Initial molecules,CC#Cc1ccc2nccc(NC(=O)Nc3cccc(C(F)(F)F)n3)c2c1,-7.5835137,-14.098697
Initial molecules,CC(C)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,8.003525,-27.084888
Initial molecules,CC(C)(C)c1cc(C=C(C#N)C#N)cc(Br)c1O,-29.212471,-19.584652
Initial molecules,CC(C)(C)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,6.8594937,-26.478558
Initial molecules,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,-3.411553,14.90164
Initial molecules,CC(C)C(CO)Nc1nc(Nc2cc(N)cc(Cl)c2)c2ncn(C(C)C)c2n1,-8.607167,-37.360897
Initial molecules,CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,-0.9365949,-36.750248
Initial molecules,CC(C)(C(N)=O)n1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,0.17005247,1.7264758
Initial molecules,CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,-12.432598,-16.500044
Initial molecules,CCCn1c(C2CCN(C)CC2)nc(-c2ccc(Cl)c(Cl)c2)c1-c1ccnc(NC2CC2)n1,7.043379,41.147903
Initial molecules,CCCn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,0.5364121,1.9571515
Initial molecules,CC(C)Oc1ccc2c(-c3ccnc(Nc4ccc(N5CCN(C)CC5)cc4)n3)cnn2n1,6.8611374,-24.046356
Initial molecules,CCCOc1nc(NC(C)=O)cc(N)c1C#N,-27.043716,-27.80658
Initial molecules,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,-13.742468,-18.013954
Initial molecules,CCn1c(Nc2ccccc2F)nc2cnc(Nc3ccc(OC)cc3)nc21,-13.6548815,-33.184715
Initial molecules,CC(N)C1CCC(C(=O)Nc2ccncc2)CC1,-5.5210166,18.638227
Initial molecules,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(Cl)cc32)c1C,-40.82668,-12.214993
Initial molecules,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,-11.089029,-12.070546
Initial molecules,CCNC(=O)N1CCC(Nc2nccc(-c3c(-c4ccccc4)[nH]c4ccccc34)n2)CC1,-28.984829,24.629763
Initial molecules,CCNC(=O)N1CCC(Nc2nccc(-c3cnc4ccccn34)n2)CC1,-30.131489,25.923668
Initial molecules,CCOc1nc(C(=O)NCc2ccccc2S(N)(=O)=O)cc(N)c1C#N,-27.560097,-24.808811
Initial molecules,CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1Cl,-29.088842,-25.173471
Initial molecules,CCOc1nc(NC(C)=O)cc(N)c1C#N,-27.000591,-27.725185
Initial molecules,CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1Cl,-24.88199,-25.627377
Initial molecules,CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1C#N,-25.173454,-26.184975
Initial molecules,CCOC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccccc32)c1C,-37.84991,-7.464045
Initial molecules,CC(=O)N1CCC(Nc2nccc(-c3c(-c4ccc(F)cc4)nc4occn34)n2)CC1,-26.232637,26.814642
Initial molecules,CC(=O)Nc1cc(N)c(C#N)c(-c2ccccc2)n1,-27.432114,-29.000269
Initial molecules,Clc1ccc(-c2nn3ncccc3c2-c2ccnc(Nc3ccc4c(c3)OCCO4)n2)cc1,9.25721,-34.665768
Initial molecules,Cn1cc(-c2ccc3cnc(Nc4ccc(-n5cnc(N6CCOCC6)n5)cc4)nc3c2C2CC2)cn1,36.382507,-32.161392
Initial molecules,Cn1cc(-c2ccc3cnc(Nc4ccc(-n5cnc(N6CCOCC6)n5)cc4)nc3c2)cn1,37.203545,-32.474037
Initial molecules,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1,-24.181147,-3.0590045
Initial molecules,CN1CCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCCOCC1,-31.272976,-0.34509185
Initial molecules,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,-25.569454,1.4383892
Initial molecules,CN1CCN(c2ccc(Nc3nccc(-c4cnn5ncccc45)n3)cc2)CC1,6.7822514,-24.735172
Initial molecules,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,-27.435547,1.5749794
Initial molecules,Cn1cc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)cn1,-8.369608,-26.564157
Initial molecules,CN1CCN(c2ncn(-c3ccc(Nc4nccc(-c5cc(F)cc(N6CCOCC6)c5)n4)cc3)n2)CC1,1.2756054,-13.601119
Initial molecules,CN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCN(C)CC1,-31.357851,-1.4840058
Initial molecules,CN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1,-31.578253,-0.91307193
Initial molecules,Cn1nnc(-c2ccc(Nc3nccc(-c4cc(C#N)cc(N5CCOCC5)c4)n3)cc2)n1,3.8898678,-15.178999
Initial molecules,Cn1sc(=O)n(Cc2ccccc2)c1=O,-20.551533,44.005623
Initial molecules,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,-13.065,-15.24816
Initial molecules,CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,-37.15006,3.1725316
Initial molecules,CNc1nc(C)c(-c2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)s1,7.52076,-7.208193
Initial molecules,CN(C)c1cc2cc(n1)CCCn1cc(c3ccccc31)C1=C(C(=O)NC1=O)c1cn(c3ccccc13)CCC2,-31.17567,1.707303
Initial molecules,CN(C)c1c(-c2ccnc(NC3CCC(O)CC3)n2)cnn1Cc1ccccc1,-20.004093,44.214626
Initial molecules,CN(C)c1nc2ccc1CCCn1cc(c3ccccc31)C1=C(C(=O)NC1=O)c1cn(c3ccccc13)CC2,-32.265705,2.7319286
Initial molecules,CN(C)c1nc2ccc1CCCn1cc(c3ccccc31)C1=C(C(=O)NC1=O)c1cn(c3ccccc13)CCC2,-32.15201,2.6960454
Initial molecules,CN(C)CC1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,-32.35323,0.34119064
Initial molecules,CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,-13.001129,-17.887318
Initial molecules,CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21,-33.636463,0.7457532
Initial molecules,CN(C)CCNc1cncc(-c2ccc3[nH]cc(-c4ccnc(N)n4)c3c2)n1,7.545574,20.69457
Initial molecules,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl,-13.1839905,-24.53896
Initial molecules,CNC(=O)C1CCC(Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n(C4CCOC4)c3n2)CC1,-20.96324,19.409334
Initial molecules,CNC(=O)CN1CCC(Nc2nccc(-c3cnc4ccccn34)n2)CC1,-31.943596,26.994822
Initial molecules,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OC)c(OC)c(OC)c2)ncc1Cl,-12.519973,-28.123823
Initial molecules,COc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NCC2,-16.898212,-5.79911
Initial molecules,COc1cc2c(cc1Cl)C(c1ccc(Cl)c(Cl)c1)=NCC2,-16.891205,-5.7893386
Initial molecules,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,-17.056015,-17.891886
Initial molecules,COc1cc2ncnc(Nc3ccc(NC(=O)c4ccccc4)cc3)c2cc1OC,-15.760311,-15.1417885
Initial molecules,COc1cc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2cc1OC,-15.160377,-13.498391
Initial molecules,COc1ccc2c(c1)C(=Cc1cnc[nH]1)C(=O)N2,-37.575684,-10.036656
Initial molecules,COc1cc(-c2ccc3c(c2)NC(=O)c2ccc(-c4ccccc4NS(C)(=O)=O)cc2N3)cc(OC)c1OC,-34.82943,-11.383467
Initial molecules,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,-21.446249,-13.139588
Initial molecules,COc1ccc(-c2cccc3cnc(Nc4ccc(-n5cnc(-c6ccccn6)n5)cc4)nc23)cc1F,33.081062,-31.972406
Initial molecules,COc1ccc(-c2cccc3cnc(Nc4ccc(-n5cnc(C)n5)cc4)nc23)cc1F,33.357533,-31.85947
